Feature,XGBoost_Importance,RF_Importance
Average Packet Size,0.2693176,0.06116661466277584
Bwd Packet Length Std,0.2238814,0.06136001960138595
Avg Bwd Segment Size,0.09109689,0.03979132633037204
Bwd Header Length,0.0865057,0.015581542429234015
Max Packet Length,0.051360622,0.05065789717560443
Bwd Packet Length Mean,0.05125961,0.03250284392359671
Fwd Packet Length Max,0.034087595,0.030187462523535314
Active Std,0.019869948,0.0008924000763281264
FIN Flag Count,0.015710989,0.0013645667505784945
Fwd Header Length.1,0.012764868,0.014164996532632186
Subflow Bwd Packets,0.012310849,0.0063152249362005385
Subflow Bwd Bytes,0.010439327,0.024603393498507778
Destination Port,0.007639506,0.04418796368003882
Packet Length Std,0.0075594266,0.057297035835402174
Fwd Header Length,0.0073826495,0.013970184052669704
Fwd IAT Mean,0.0060349638,0.005668871971552066
Packet Length Mean,0.0056109712,0.03197568865373071
Fwd Packet Length Std,0.0053630886,0.005799249147057666
Init_Win_bytes_backward,0.004927561,0.0271252456111948
Idle Max,0.0048363605,0.004266494431959006
Bwd Packet Length Max,0.003998549,0.040845523005627826
Fwd IAT Min,0.0039241724,0.007553022670732158
min_seg_size_forward,0.0037524537,0.004659470740869446
Flow Bytes/s,0.003688985,0.006873248166126105
Total Length of Bwd Packets,0.0036355576,0.03610205426748648
Total Backward Packets,0.0036047183,0.006134509761951687
Min Packet Length,0.0033738783,0.015729277555360365
PSH Flag Count,0.0031547602,0.010615210924142027
ACK Flag Count,0.0031524298,0.009179582857061875
Total Fwd Packets,0.003028772,0.012718234465213545
Subflow Fwd Packets,0.0029196355,0.0139927486705043
Flow IAT Mean,0.0027239297,0.006067508833369342
Bwd IAT Std,0.0026058753,0.0017377467538195206
Idle Min,0.002241616,0.003703058070940592
Bwd IAT Mean,0.002042454,0.0019581804950466997
Init_Win_bytes_forward,0.0018369384,0.02106976400089168
Fwd IAT Max,0.0018337462,0.009500447062413502
Fwd Packet Length Min,0.001459866,0.013879272458571042
Idle Mean,0.0014256708,0.0014913080466206336
Bwd Packet Length Min,0.0013921595,0.014502324187067763
Bwd IAT Min,0.0012337886,0.0017651294712788261
Avg Fwd Segment Size,0.0012330443,0.01898474744017308
Total Length of Fwd Packets,0.0010170878,0.01925208423103887
Flow IAT Min,0.0009874036,0.004463221758159359
Packet Length Variance,0.0008739845,0.054211023063967474
Active Max,0.00086409814,0.0010626164943063163
URG Flag Count,0.00075601885,0.011449523028242425
Bwd IAT Max,0.0007506065,0.0033650705197624067
Fwd Packet Length Mean,0.0006985968,0.020190868491854353
Fwd IAT Total,0.0006659731,0.007538087789771707
Flow IAT Std,0.0006652321,0.012899535474300082
Bwd Packets/s,0.00065933634,0.006227049188963636
Flow IAT Max,0.00063947245,0.0080315276385725
Subflow Fwd Bytes,0.0006003742,0.024629097280480364
Fwd Packets/s,0.0005724554,0.0036831499043429475
act_data_pkt_fwd,0.0005445221,0.005371960049167326
Fwd PSH Flags,0.0005213731,0.0003493500617671943
Bwd IAT Total,0.00051934953,0.0032181488850967035
Down/Up Ratio,0.00050623255,0.0015481194592307087
Flow Packets/s,0.00046093372,0.007010906794824395
Fwd IAT Std,0.00042821895,0.009407552428621879
Flow Duration,0.00035807182,0.005533261063754702
Active Mean,0.00023054722,0.0009347869824938813
Active Min,0.00021997864,0.001092896121341911
SYN Flag Count,0.00018983352,0.0003616891635775364
Idle Std,4.727598e-05,0.0002264515051292669
RST Flag Count,0.0,1.2989058231927622e-08
Bwd URG Flags,0.0,0.0
Bwd PSH Flags,0.0,0.0
Fwd URG Flags,0.0,3.01787539677119e-07
Bwd Avg Bulk Rate,0.0,0.0
Bwd Avg Packets/Bulk,0.0,0.0
Bwd Avg Bytes/Bulk,0.0,0.0
Fwd Avg Bulk Rate,0.0,0.0
Fwd Avg Packets/Bulk,0.0,0.0
Fwd Avg Bytes/Bulk,0.0,0.0
CWE Flag Count,0.0,2.968632483512486e-07
ECE Flag Count,0.0,1.925176097746158e-08
